;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;Unnamed: 0.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1;cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor;malus;Valeur_malus;Compteur_malus
25;25;25;25;25;25;25;25;25;25;cluster_1;petit-dejeuner;seul;eau du robinet;eau minérale plate;0.08185053380782918;99.83238516227932;99.83238516227932;0.0;0.0;False;0.2;0
26;26;26;26;26;26;26;26;26;26;cluster_1;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau du robinet;0.5169422430738896;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;True;0.2;1
27;27;27;27;27;27;27;27;27;27;cluster_1;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau minérale plate;0.02124384236453201;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;False;0.2;0
28;28;28;28;28;28;28;28;28;28;cluster_1;petit-dejeuner;seul;eau minérale plate;eau du robinet;0.9181494661921707;99.83238516227932;99.83238516227932;0.0;0.0;True;0.2;1
29;29;29;29;29;29;29;29;29;29;cluster_1;petit-dejeuner;seul;yaourts et assimilés;lait en bouteille ou en brique;0.929745488308102;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262;False;1.0;0
30;30;30;30;30;30;30;30;30;30;cluster_1;petit-dejeuner;accompagne;café;thé et infusions;0.19666705374370105;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
31;31;31;31;31;31;31;31;31;31;cluster_1;petit-dejeuner;accompagne;café;chicorée et poudre maltée;0.4563991280050119;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
32;32;32;32;32;32;32;32;32;32;cluster_1;petit-dejeuner;accompagne;café;cacao, poudres et boissons cacaotées;0.042390099027020726;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
33;33;33;33;33;33;33;33;33;33;cluster_1;petit-dejeuner;accompagne;thé et infusions;café;0.8033329462562989;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
34;34;34;34;34;34;34;34;34;34;cluster_1;petit-dejeuner;accompagne;thé et infusions;chicorée et poudre maltée;0.5083863611103904;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
35;35;35;35;35;35;35;35;35;35;cluster_1;petit-dejeuner;accompagne;thé et infusions;cacao, poudres et boissons cacaotées;0.3273322160612725;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
36;36;36;36;36;36;36;36;36;36;cluster_1;petit-dejeuner;accompagne;chicorée et poudre maltée;café;0.5436008719949882;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
37;37;37;37;37;37;37;37;37;37;cluster_1;petit-dejeuner;accompagne;chicorée et poudre maltée;thé et infusions;0.4916136388896096;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
38;38;38;38;38;38;38;38;38;38;cluster_1;petit-dejeuner;accompagne;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.3617610628646187;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
39;39;39;39;39;39;39;39;39;39;cluster_1;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;café;0.9576099009729792;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
40;40;40;40;40;40;40;40;40;40;cluster_1;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;thé et infusions;0.6726677839387275;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
41;41;41;41;41;41;41;41;41;41;cluster_1;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.6382389371353813;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
42;42;42;42;42;42;42;42;42;42;cluster_1;petit-dejeuner;accompagne;biscottes et panification sèche;pain;0.9842379385964912;86.99778787025706;92.77109206705057;5.773304196793504;0.07753480903731626;False;1.0;0
43;43;43;43;43;43;43;43;43;43;cluster_1;petit-dejeuner;accompagne;sucre et assimilés;confiture et miel;0.4954852747420984;61.33093500768159;79.62831934953721;18.297384341855626;0.24573175991940524;False;1.0;0
44;44;44;44;44;44;44;44;44;44;cluster_1;petit-dejeuner;accompagne;beurre;margarine;0.2338332495921139;47.14204550098295;69.92222764099368;22.78018214001073;0.3059352169667405;False;1.0;0
