codgr;libgr;sougr;libsougr;sougr ciqual correspondant;SAIN 5 opt;LIM3;;;;;;
15;margarine;99;margarine;margarine;1.52554021363463;30.0944162077483;;;;;;
16;autres graisses;99;autres graisses;autres graisses;1.07815588559106;41.8811054681654;;;;;;
17;viande;1;agneau;agneau et mouton;2.27046494847285;7.685543075172;;;;;;
17;viande;2;bœuf en pièces ou haché;bœuf et veau;3.71737784292734;4.96487094679293;;;;;;
17;viande;3;porc;porc;2.89957648315798;9.40944711946615;;;;;;
17;viande;4;veau;bœuf et veau;3.71737784292734;4.96487094679293;;;;;;
17;viande;5;autre viande;autres viandes;4.05117364717244;4.2609515901162;;;;;;
18;volaille et gibier;1;volailles et lapins;poulet, dinde;5.97507871773209;3.16818458931209;;;;;;
18;volaille et gibier;2;gibier;gibier;2.49305825972493;3.00228498111467;;;;;;
19;abats;99;abats;abats;10.6451857891235;2.5686291415428;;;;;;
20;charcuterie;1;jambons et charcuteries en pièces;jambons cuits, jambons secs et crus;1.71020886207199;19.161135007195;;;;;;
20;charcuterie;2;saucisses, saucissons, andouilles et boudins;saucisson secs, saucisses et assimiléspâ;1.29719832514524;26.2135923907646;;;;;;
20;charcuterie;3;pâtés, terrines, rillettes et foie gras;pâté et terrine, rillette;1.09215453453603;17.0411393284591;;;;;;
20;charcuterie;4;autre charcuterie ou charcuterie  sans précision;autres spécialités charcutières;2.22648390615963;20.2955201272875;;;;;;
21;poissons;1;poissons de mer;poissons cuits + poissons crus;11.1360159053514;3.28324848949082;;;;;;
21;poissons;2;poissons d'eau douce;poissons cuits + poissons crus;11.1360159053514;3.28324848949082;;;;;;
21;poissons;3;produits dérivés des poissons;produits Ã  base de poissons et produits de la mer;9.02368185263158;9.77448071368084;;;;;;
21;poissons;4;autres poissons ou poissons sans précision;produits Ã  base de poissons et produits de la mer;9.02368185263158;9.77448071368084;;;;;;
22;crustacés et mollusques;1;mollusques et coquillage;mollusques et crustacés cuits, mollusques et crustacés crus;10.7904744401812;3.34275424207184;;;;;;
22;crustacés et mollusques;2;crustacés;mollusques et crustacés cuits , mollusques et crustacés crus;10.7904744401812;3.34275424207184;;;;;;
22;crustacés et mollusques;3;autres fruits de mer ou fruits de mer sans précision;produits Ã  base de poissons et produits de la mer;9.02368185263158;9.77448071368084;;;;;;
23;légumes (hors pommes de terre);1;légumes racines, tubercules ou bulbes;pommes de terre et autres tubercules;3.65662687364156;4.57113668367788;;;;;;
23;légumes (hors pommes de terre);2;légumes feuilles;légumes crus, légumes cuits;26.6439125388325;2.26112758095528;;;;;;
