antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
('cluster_5', 'dejeuner');('agneau',);0.038363453;0.009319312;0.001023235;0.026672138;2.862028524;0.000665714;1.017828346
('famille',);('veau',);0.429632895;0.00960267;0.00650148;0.01513264;1.575878357;0.002375857;1.005614939
('cluster_1',);('veau',);0.160805365;0.00960267;0.001763113;0.010964268;1.14179373;0.000218952;1.001376693
('cluster_5',);('veau',);0.143127007;0.00960267;0.001983502;0.013858337;1.443175409;0.000609101;1.004315472
('cluster_4',);('veau',);0.105692337;0.00960267;0.001290851;0.012213286;1.271863539;0.000275922;1.002642894
('cluster_2', 'dejeuner');('veau',);0.036175304;0.00960267;0.001070462;0.029590949;3.081533479;0.000723082;1.020597787
('cluster_1', 'famille');('veau',);0.066226938;0.00960267;0.001275109;0.019253625;2.00502831;0.000639153;1.009840419
('cluster_1', 'dejeuner');('veau',);0.043196272;0.00960267;0.001416787;0.032798834;3.415595278;0.001001988;1.023982771
('cluster_1', 'dejeuner', 'famille');('veau',);0.022574145;0.00960267;0.001038977;0.046025105;4.792948762;0.000822205;1.038179657
('cluster_5', 'dejeuner');('veau',);0.038363453;0.00960267;0.001495498;0.038982355;4.059533019;0.001127106;1.030571432
('cluster_5', 'famille');('veau',);0.062071028;0.00960267;0.001306593;0.021049962;2.192094727;0.000710545;1.011693439
('cluster_4', 'dejeuner');('veau',);0.028792267;0.00960267;0.001007493;0.034991799;3.643965618;0.000731011;1.026309755
('famille',);('crustacés',);0.429632895;0.009083181;0.005840312;0.013593727;1.496582184;0.001937879;1.004572706
('diner',);('crustacés',);0.275832756;0.009083181;0.004785593;0.017349618;1.910081646;0.002280154;1.008412388
('crustacés',);('poissons de mer',);0.009083181;0.048422643;0.001652919;0.181975737;3.758071096;0.001213087;1.163262997
('volailles et lapins',);('crustacés',);0.060512562;0.009083181;0.001101946;0.018210198;2.004825995;0.000552299;1.009296304
('crustacés',);('volailles et lapins',);0.009083181;0.060512562;0.001101946;0.121317158;2.004825995;0.000552299;1.069199707
('cluster_5',);('crustacés',);0.143127007;0.009083181;0.001432529;0.010008799;1.101904583;0.000132481;1.000934976
('diner', 'famille');('crustacés',);0.185016687;0.009083181;0.00310119;0.016761678;1.84535325;0.00142065;1.007809395
('cluster_7', 'famille');('crustacés',);0.07403501;0.009083181;0.001149172;0.015522007;1.708873461;0.000476699;1.006540345
('amis', 'dejeuner');('boeuf en pièces ou haché',);0.025722562;0.057065046;0.003384548;0.131578947;2.305771325;0.001916688;1.085803886
('amis', 'cluster_7');('boeuf en pièces ou haché',);0.011334299;0.057065046;0.001227882;0.108333333;1.898418391;0.00058109;1.057497144
('amis', 'diner');('boeuf en pièces ou haché',);0.021944462;0.057065046;0.002156665;0.098278336;1.722216;0.000904403;1.045705112
('amis', 'dejeuner');('volailles et lapins',);0.025722562;0.060512562;0.003242869;0.126070991;2.083385447;0.001686331;1.075015738
('amis', 'cluster_7');('volailles et lapins',);0.011334299;0.060512562;0.001149172;0.101388889;1.675501503;0.000463305;1.045488339
('amis', 'diner');('volailles et lapins',);0.021944462;0.060512562;0.002534475;0.115494978;1.908611606;0.00120656;1.062161791
('amis', 'cluster_3');('volailles et lapins',);0.006517222;0.060512562;0.00113343;0.173913043;2.873999005;0.000739056;1.137274267
('cluster_8',);('volailles et lapins',);0.030146087;0.060512562;0.001904792;0.063185379;1.044169612;8.06E-05;1.00285309
('cluster_8', 'dejeuner');('volailles et lapins',);0.007981235;0.060512562;0.001353819;0.169625247;2.803141041;0.000870854;1.131401736
('cluster_8', 'famille');('volailles et lapins',);0.014419747;0.060512562;0.00121214;0.084061135;1.389151811;0.000339564;1.025709765
