antecedents;consequents;antecedent support;consequent support;support;confidence;lift;leverage;conviction
('cluster_4', 'diner');('volailles et lapins',);0.02880801;0.060512562;0.00310119;0.107650273;1.778973974;0.001357944;1.052824257
('cluster_4', 'seul');('volailles et lapins',);0.026430955;0.060512562;0.001432529;0.054198928;0.895664073;-0.000166875;0.993324564
('cluster_4', 'dejeuner');('volailles et lapins',);0.028792267;0.060512562;0.005037466;0.174958994;2.891283854;0.003295172;1.138716053
('cluster_4', 'diner', 'famille');('volailles et lapins',);0.020669353;0.060512562;0.00226686;0.109672506;1.812392365;0.001016104;1.055215574
('cluster_4', 'dejeuner', 'famille');('volailles et lapins',);0.015505951;0.060512562;0.003164158;0.204060914;3.372207462;0.002225854;1.180350926
('cluster_6', 'dejeuner');('volailles et lapins',);0.022353756;0.060512562;0.00234557;0.104929577;1.734013132;0.000992887;1.049624045
('cluster_6', 'seul');('volailles et lapins',);0.026651344;0.060512562;0.001038977;0.038984052;0.644230728;-0.000573764;0.977598176
('cluster_6', 'diner');('volailles et lapins',);0.022999181;0.060512562;0.001479756;0.064339493;1.063241932;8.80E-05;1.004090085
('cluster_6', 'famille');('volailles et lapins',);0.031861973;0.060512562;0.002188149;0.068675889;1.134903016;0.0002601;1.008765291
('cluster_6', 'dejeuner', 'famille');('volailles et lapins',);0.010468484;0.060512562;0.001369561;0.130827068;2.161981958;0.000736086;1.080898177
('cluster_5', 'famille');('volailles et lapins',);0.062071028;0.060512562;0.004344815;0.069997464;1.156742688;0.000588738;1.010198791
('cluster_5', 'diner');('volailles et lapins',);0.038631069;0.060512562;0.002219634;0.057457213;0.94950884;-0.000118031;0.996758397
('cluster_5', 'dejeuner');('volailles et lapins',);0.038363453;0.060512562;0.004470751;0.116536725;1.92582699;0.00214928;1.063414253
('cluster_5', 'seul');('volailles et lapins',);0.039591336;0.060512562;0.001275109;0.032206759;0.532232619;-0.001120665;0.970752221
('cluster_5', 'dejeuner', 'famille');('volailles et lapins',);0.02109439;0.060512562;0.002770606;0.131343284;2.170512681;0.001494131;1.081540521
('cluster_5', 'diner', 'famille');('volailles et lapins',);0.026777281;0.060512562;0.001574208;0.058788948;0.971516418;-4.62E-05;0.998168727
('cluster_7', 'dejeuner');('volailles et lapins',);0.050232983;0.060512562;0.006816321;0.13569414;2.24241273;0.003776595;1.086984922
('cluster_7', 'famille');('volailles et lapins',);0.07403501;0.060512562;0.007304326;0.09866043;1.630412363;0.002824278;1.042323524
('cluster_7', 'diner');('volailles et lapins',);0.052074806;0.060512562;0.004502235;0.086457074;1.428745878;0.001351055;1.028399882
('cluster_7', 'dejeuner', 'famille');('volailles et lapins',);0.025045652;0.060512562;0.004203136;0.167818982;2.773291623;0.002687559;1.128946007
('cluster_7', 'diner', 'famille');('volailles et lapins',);0.033011145;0.060512562;0.00310119;0.093943729;1.552466558;0.001103601;1.036897451
('cluster_3', 'famille');('volailles et lapins',);0.07387759;0.060512562;0.009838801;0.133177072;2.200816945;0.005368279;1.083828551
('cluster_3', 'diner');('volailles et lapins',);0.043731503;0.060512562;0.004470751;0.102231821;1.68943138;0.001824446;1.046469969
('cluster_3', 'dejeuner');('volailles et lapins',);0.043196272;0.060512562;0.009649896;0.223396501;3.691737606;0.007035979;1.209738869
('cluster_3', 'diner', 'famille');('volailles et lapins',);0.031169322;0.060512562;0.003384548;0.108585859;1.794434985;0.001498412;1.05392925
('cluster_3', 'dejeuner', 'famille');('volailles et lapins',);0.025344752;0.060512562;0.006359801;0.250931677;4.146769992;0.004826125;1.254207939
('autre',);('boeuf en pièces ou haché',);0.054026825;0.057065046;0.004675398;0.086538462;1.516488064;0.001592355;1.032265634
('autre',);('volailles et lapins',);0.054026825;0.060512562;0.00431333;0.07983683;1.319343075;0.001044029;1.021000914
('autre', 'dejeuner');('boeuf en pièces ou haché',);0.029170077;0.057065046;0.003730873;0.127900702;2.241314253;0.002066282;1.0812243
('autre', 'cluster_7');('boeuf en pièces ou haché',);0.011806561;0.057065046;0.00113343;0.096;1.682290759;0.000459688;1.043069639
('autre', 'dejeuner');('volailles et lapins',);0.029170077;0.060512562;0.003431774;0.117647059;1.944175797;0.001666618;1.06475243
('autre', 'cluster_7');('volailles et lapins',);0.011806561;0.060512562;0.001023235;0.086666667;1.432209504;0.00030879;1.028635881
('famille',);('poissons de mer',);0.429632895;0.048422643;0.029532145;0.068738092;1.419544389;0.008728185;1.021814968
('cluster_1',);('poissons de mer',);0.160805365;0.048422643;0.007934009;0.049339207;1.01892841;0.000147388;1.000964133
('diner',);('poissons de mer',);0.275832756;0.048422643;0.020732322;0.075162653;1.552221179;0.00737577;1.028913202
('cluster_2',);('poissons de mer',);0.131855677;0.048422643;0.006958;0.052769819;1.089775667;0.0005732;1.004589355
('volailles et lapins',);('poissons de mer',);0.060512562;0.048422643;0.002235376;0.036940687;0.762880425;-0.000694803;0.988077623
('cluster_3',);('poissons de mer',);0.162426799;0.048422643;0.010562937;0.065031983;1.3430077;0.002697802;1.017764607
('cluster_6',);('poissons de mer',);0.082331087;0.048422643;0.003195643;0.038814532;0.801578122;-0.000791046;0.990003894
('cluster_7',);('poissons de mer',);0.183615641;0.048422643;0.005179145;0.028206447;0.582505316;-0.00371201;0.979197026
('cluster_5',);('poissons de mer',);0.143127007;0.048422643;0.006973742;0.048724153;1.006226626;4.32E-05;1.000316953
('cluster_4',);('poissons de mer',);0.105692337;0.048422643;0.006769095;0.064045279;1.322630778;0.001651193;1.016691657
('autre',);('poissons de mer',);0.054026825;0.048422643;0.004045715;0.07488345;1.546455224;0.001429593;1.028602673
('boeuf en pièces ou haché',);('poissons de mer',);0.057065046;0.048422643;0.001605692;0.028137931;0.581090355;-0.001157548;0.979127993
('cluster_1', 'famille');('poissons de mer',);0.066226938;0.048422643;0.00469114;0.070834324;1.462834714;0.001484257;1.02412022
('cluster_1', 'dejeuner');('poissons de mer',);0.043196272;0.048422643;0.004360557;0.100947522;2.084717288;0.002268879;1.058422483
('cluster_1', 'diner');('poissons de mer',);0.043999118;0.048422643;0.003541968;0.080500894;1.662463855;0.001411415;1.034886658
('cluster_1', 'seul');('poissons de mer',);0.047257729;0.048422643;0.001873308;0.03964024;0.818630233;-0.000415036;0.99085509
('cluster_1', 'dejeuner', 'famille');('poissons de mer',);0.022574145;0.048422643;0.00234557;0.10390516;2.145796947;0.00125247;1.061915898
('cluster_1', 'diner', 'famille');('poissons de mer',);0.028272779;0.048422643;0.00234557;0.082962138;1.713292217;0.000976527;1.037664197
('cluster_1', 'dejeuner', 'seul');('poissons de mer',);0.012357534;0.048422643;0.001196398;0.096815287;1.999380451;0.000598014;1.053580007
('diner', 'famille');('poissons de mer',);0.185016687;0.048422643;0.014262326;0.077086701;1.59195566;0.005303329;1.031058235
('cluster_2', 'famille');('poissons de mer',);0.058796675;0.048422643;0.004250362;0.072289157;1.492879189;0.001403272;1.025726242
('cluster_2', 'diner');('poissons de mer',);0.037403186;0.048422643;0.003447516;0.092171717;1.903483798;0.001636355;1.048190913
('cluster_2', 'dejeuner');('poissons de mer',);0.036175304;0.048422643;0.003479;0.096170583;1.98606636;0.001727296;1.052828486
('cluster_2', 'seul');('poissons de mer',);0.035372458;0.048422643;0.001369561;0.038718291;0.799590611;-0.000343267;0.989904778
('cluster_2', 'diner', 'famille');('poissons de mer',);0.025738304;0.048422643;0.002377054;0.09235474;1.907263494;0.001130738;1.048402276
('cluster_2', 'dejeuner', 'famille');('poissons de mer',);0.01890624;0.048422643;0.001873308;0.099084097;2.04623477;0.000957818;1.056233277
('dejeuner', 'volailles et lapins');('poissons de mer',);0.038410679;0.048422643;0.001479756;0.03852459;0.795590398;-0.000380191;0.98970535
('dejeuner', 'poissons de mer');('volailles et lapins',);0.027438448;0.060512562;0.001479756;0.053930006;0.891220001;-0.000180615;0.99304221
('amis', 'diner');('poissons de mer',);0.021944462;0.048422643;0.001983502;0.090387374;1.866634452;0.000920893;1.046134728
('amis', 'dejeuner');('poissons de mer',);0.025722562;0.048422643;0.002676154;0.104039168;2.148564398;0.001430599;1.062074727
('cluster_3', 'famille');('poissons de mer',);0.07387759;0.048422643;0.006643158;0.089921159;1.857006409;0.00306581;1.045598814
('cluster_3', 'diner');('poissons de mer',);0.043731503;0.048422643;0.004108683;0.093952484;1.940259292;0.001991088;1.050251051
('cluster_3', 'dejeuner');('poissons de mer',);0.043196272;0.048422643;0.006422769;0.148688047;3.070630519;0.004331092;1.117777511
('cluster_3', 'diner', 'famille');('poissons de mer',);0.031169322;0.048422643;0.002896543;0.092929293;1.91912887;0.001387242;1.049066351
('cluster_3', 'dejeuner', 'famille');('poissons de mer',);0.025344752;0.048422643;0.003715131;0.146583851;3.02717573;0.002487871;1.115021502
('cluster_6', 'diner');('poissons de mer',);0.022999181;0.048422643;0.001243624;0.054072553;1.116679083;0.000129943;1.005972878
('cluster_6', 'dejeuner');('poissons de mer',);0.022353756;0.048422643;0.00188905;0.084507042;1.745196798;0.000806622;1.039415266
('cluster_6', 'famille');('poissons de mer',);0.031861973;0.048422643;0.001763113;0.055335968;1.142770499;0.000220272;1.00731829
('cluster_7', 'famille');('poissons de mer',);0.07403501;0.048422643;0.003132674;0.042313417;0.873835338;-0.000452297;0.99362085
('cluster_7', 'diner');('poissons de mer',);0.052074806;0.048422643;0.002440023;0.046856106;0.967648668;-8.16E-05;0.998356453
