codgr;libgr;sougr;libsougr;sougr ciqual correspondant;SAIN 5 opt;LIM3
10;ultra-frais laitier;1;crème fraîche;crèmes et spécialités à base de crème;0.19705073332192;22.5561434836792
10;ultra-frais laitier;2;yaourts et assimilés;yaourts et spécialités laitières type yaourt;3.3561750190223396;8.3818681658591
10;ultra-frais laitier;3;fromage blanc et petits suisses;fromages blancs;0.751184055967655;7.90833729781161
11;fromages;1;fromages affinés;fromages à pâte molle, fromages à pâte persillée, fromage à pâte pressée;2.31711577627729;27.3714766352199
11;fromages;2;fromages fondus;fromages fondus;1.08799407571971;22.9934059593717
11;fromages;3;fromages frais non affinés;autres fromages et spécialités;0.552020843986656;25.491684657450598
11;fromages;4;autres fromages ou fromage sans précision;autres fromages et spécialités;0.552020843986656;25.491684657450598
12;oeufs et dérivés;99;oeufs et dérivés;œufs cuits, œufs crus, omelettes et autres ovoproduits;6.9009561140166795;9.02527449902648
13;beurre;99;beurre;beurres;1.4149893433178002;52.87919504958511
14;huile;99;huile;huiles et graisses végétales;0.088572435232495;23.9803345243402
15;margarine;99;margarine;margarine;1.5255402136346299;30.0944162077483
16;autres graisses;99;autres graisses;autres graisses;1.07815588559106;41.881105468165394
17;viande;1;agneau;agneau et mouton;2.27046494847285;7.685543075172
17;viande;2;boeuf en pièces ou haché;bœuf et veau;3.71737784292734;4.96487094679293
17;viande;3;porc;porc;2.89957648315798;9.409447119466149
17;viande;4;veau;bœuf et veau;3.71737784292734;4.96487094679293
17;viande;5;autre viande;autres viandes;4.0511736471724396;4.260951590116201
18;volaille et gibier;1;volailles et lapins;poulet, dinde;5.97507871773209;3.1681845893120895
18;volaille et gibier;2;gibier;gibier;2.4930582597249304;3.00228498111467
19;abats;99;abats;abats;10.6451857891235;2.5686291415427998
20;charcuterie;1;jambons et charcuteries en pièces;jambons cuits, jambons secs et crus;1.71020886207199;19.161135007195
20;charcuterie;2;saucisses, saucissons, andouilles et boudins;saucisson secs, saucisses et assimiléspâ;1.29719832514524;26.213592390764603
20;charcuterie;3;pâtés, terrines, rillettes et foie gras;pâté et terrine, rillette;1.09215453453603;17.0411393284591
20;charcuterie;4;autre charcuterie ou charcuterie  sans précision;autres spécialités charcutières;2.22648390615963;20.2955201272875
21;poissons;1;poissons de mer;poissons cuits + poissons crus;11.1360159053514;3.2832484894908194
21;poissons;2;poissons d'eau douce;poissons cuits + poissons crus;11.1360159053514;3.2832484894908194
21;poissons;3;produits dérivés des poissons;produits Ã  base de poissons et produits de la mer;9.02368185263158;9.77448071368084
